Unnamed: 0,user_id,username,id,date,Tweet,lang,replyCount,followersCount,preprocessed_text
2413,1527170263909302272,Biddu_1979,1562833501090504704,2022-08-25 16:05:17+00:00,"Yes @asadowaisi is the person who provoked and now #SarTanSeJuda gang is active. If anything happens to @TigerRajaSingh Owaisi will be responsible 
#HindusUnderAttackInIndia
#ArrestOwaisi",en,0,9,yes is the person who provoked and now gang is active if anything happens to owaisi will be responsible 
2414,1507349126677090309,ASatanalkar2,1562833292784959490,2022-08-25 16:04:27+00:00,"And The Hindus are in Majority.
#HindusUnderAttackInIndia despite being in the majority.
Welcome To Islamic Republic of India.
#HindusUnderAttack #SarTanSeJuda   
🖕 #ProphetMuhammad

 #HindusUnderAttack https://t.co/HSN7XL4Ysz",en,0,53,and the hindu are in majority despite being in the majority welcome to islamic republic of india URL 
2415,1267002752745435139,UmaNagaraj5398,1562832825883459584,2022-08-25 16:02:36+00:00,"#ArrestOwaisi
#HindusUnderAttack 
When derogatory jokes are made against #Hindu Gods, targeting them, no offense is registered.

Why protection is being given to those who disrespect our Deity ? - T Raja Singh #BJP MLA

#SarTanSeJuda #MunawarFaruqi 
#HindusUnderAttack https://t.co/CYX61yjGxH",en,0,58,when derogatory joke are made against god targeting them no offense is registered why protection is being given to those who disrespect our deity raja singh mla URL 
2418,1267771293765562368,ashabalakrishn8,1562832283748679688,2022-08-25 16:00:27+00:00,"#ArrestOwaisi
#HindusUnderAttack 
When derogatory jokes are made against #Hindu Gods, targeting them, no offense is registered.

Why protection is being given to those who disrespect our Deity ? - T Raja Singh #BJP MLA

#SarTanSeJuda #MunawarFaruqi 
#HindusUnderAttack",en,0,96,when derogatory joke are made against god targeting them no offense is registered why protection is being given to those who disrespect our deity raja singh mla 
2419,1255949565850599424,Sriravi99165873,1562832242019532804,2022-08-25 16:00:17+00:00,"#ArrestOwaisi
#HindusUnderAttack 
When derogatory jokes are made against #Hindu Gods, targeting them, no offense is registered.

Why protection is being given to those who disrespect our Deity ? - T Raja Singh #BJP MLA

#SarTanSeJuda #MunawarFaruqi 
#HindusUnderAttack https://t.co/qTMw5MdM9X",en,0,163,when derogatory joke are made against god targeting them no offense is registered why protection is being given to those who disrespect our deity raja singh mla URL 
2421,42534104,globalsme,1562831960241684480,2022-08-25 15:59:09+00:00,#Hyderabadpolice @KTRTRS You are creating communal violence by allowing comedian show with security on public money. Is your bigger than state’s welfare? People of peace community shouting #SarTanSeJuda. This is serious law order issue. Are we in banana republic?,en,0,32,you are creating communal violence by allowing comedian show with security on public money is your bigger than state welfare people of peace community shouting this is serious law order issue are we in banana republic 
2422,1459299510,bpshrinath,1562831858597232641,2022-08-25 15:58:45+00:00,"#ArrestOwaisi
#HindusUnderAttack 
When derogatory jokes are made against #Hindu Gods, targeting them, no offense is registered.

Why protection is being given to those who disrespect our Deity ? - T Raja Singh #BJP MLA

#SarTanSeJuda #MunawarFaruqi 
#HindusUnderAttack",en,0,440,when derogatory joke are made against god targeting them no offense is registered why protection is being given to those who disrespect our deity raja singh mla 
2423,1444504723894136835,Valmiki__RAM_,1562831613071081475,2022-08-25 15:57:47+00:00,"Deep Reality in India

      👇😭👇

#SarTanSeJuda
#HindusUnderAttack https://t.co/mWIB3m8l7m",en,10,2182,deep reality in india URL 
2425,1363372419805704195,Kilvish16,1562831391225946114,2022-08-25 15:56:54+00:00,"DSP and police also included in #SarTanSeJuda gang..
God save this country whose Law nd Order working with criminals.
#Hyderabad #Hyderabadpolice https://t.co/Y9167g9XCR",en,1,11,dsp and police also included in gang god save this country whose law nd order working with criminal URL 
2426,1507349126677090309,ASatanalkar2,1562831061322989569,2022-08-25 15:55:35+00:00,"'Sar Tan Se Juda' Slogans Chanted In Hyderabad; AIMIM Leaders chant slogans in front of police during protests against BJP MLA #RajaSingh

Now #SarTanSeJuda call not limited to a slogan but has become 

https://t.co/JbMiEYjeH7

#NupurSharma #HindusUnderAttack#HindusUnderAttack",en,0,53,sar tan se juda slogan chanted in hyderabad aimim leader chant slogan in front of police during protest against bjp mla now call not limited to slogan but ha become URL 
2427,1503754343803420677,Kishore_jk97,1562830714344992768,2022-08-25 15:54:12+00:00,"#SarTanSeJuda is terrorist slogan.

Call for genocide.

Supreme Court and Coward @PMOIndia @narendramodi open your eyes and brain and ban this slogan of Islamic terrorism.",en,0,5,is terrorist slogan call for genocide supreme court and coward open your eye and brain and ban this slogan of islamic terrorism 
